,OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
0,106010042,JOHN GEORGE PSYCHIATRIC HOSPITAL,140000046,Distinct Part Facility,2060 FAIRMONT DRIVE,SAN LEANDRO,94578,1,Alameda,Open,2022-11-01,Hospital,General Acute Care Hospital,37.7105527,-122.1202563
1,106010735,ALAMEDA HOSPITAL,140000002,Parent Facility,2070 CLINTON AVE,ALAMEDA,94501,1,Alameda,Open,1946-01-01,Hospital,General Acute Care Hospital,37.7626798,-122.2541062
2,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,140000004,Parent Facility,2450 ASHBY AVENUE,BERKELEY,94705,1,Alameda,Open,1946-01-02,Hospital,General Acute Care Hospital,37.8556279,-122.2575014
3,106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,140000015,Parent Facility,747 52ND STREET,OAKLAND,94609,1,Alameda,Open,1946-01-01,Hospital,General Acute Care Hospital,37.8369379,-122.2672306
4,106010811,FAIRMONT HOSPITAL,140000046,Consolidated Facility,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,1,Alameda,Open,1953-07-01,Hospital,General Acute Care Hospital,37.7081679,-122.1198228
5,106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,140000004,Consolidated Facility,2001 DWIGHT WAY,BERKELEY,94704,1,Alameda,Open,1946-01-01,Hospital,General Acute Care Hospital,37.8640724,-122.2687119
6,106010846,HIGHLAND HOSPITAL,140000046,Parent Facility,1411 EAST 31ST STREET,OAKLAND,94602,1,Alameda,Open,1953-07-01,Hospital,General Acute Care Hospital,37.7990596,-122.2325063
7,106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,140000066,Parent Facility,2800 BENEDICT DRIVE,SAN LEANDRO,94577,1,Alameda,Open,1962-11-13,Hospital,General Acute Care Hospital,37.7160578,-122.1304709
8,106010937,ALTA BATES SUMMIT MEDICAL CENTER,140000284,Parent Facility,350 HAWTHORNE AVENUE,OAKLAND,94609,1,Alameda,Open,1946-01-01,Hospital,General Acute Care Hospital,37.821175,-122.26304
9,106010967,ST. ROSE HOSPITAL,140000107,Parent Facility,27200 CALAROGA AVENUE,HAYWARD,94545,1,Alameda,Open,1962-10-10,Hospital,General Acute Care Hospital,37.6330725,-122.0885076
10,106010983,STANFORD HEALTH CARE TRI-VALLEY,140000114,Consolidated Facility,1111 E. STANLEY BOULEVARD,LIVERMORE,94550,1,Alameda,Open,1969-10-19,Hospital,General Acute Care Hospital,37.677353,-121.7819586
11,106010987,WASHINGTON HOSPITAL - FREMONT,140000116,Parent Facility,2000 MOWRY AVENUE,FREMONT,94538,1,Alameda,Open,1958-11-19,Hospital,General Acute Care Hospital,37.5572736,-121.9779535
12,106013619,SAN LEANDRO HOSPITAL,140000046,Consolidated Facility,13855 EAST 14TH STREET,SAN LEANDRO,94578,1,Alameda,Open,2019-08-19,Hospital,General Acute Care Hospital,37.712266,-122.1435578
13,106013626,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,140000284,Consolidated Facility,3100 SUMMIT STREET,OAKLAND,94609,1,Alameda,Open,1946-01-01,Hospital,General Acute Care Hospital,37.8201507,-122.2639466
14,106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,140000232,Parent Facility,3012 SUMMIT STREET,OAKLAND,94609,1,Alameda,Open,1983-10-12,Hospital,Chemical Dep. Recovery Hospital,37.8194841,-122.2641652
15,106014034,FREMONT HOSPITAL,140000347,Parent Facility,39001 SUNDALE DRIVE,FREMONT,94538,1,Alameda,Open,1990-02-16,Hospital,Acute Psychiatric Hospital,37.5466189,-121.979662
16,106014050,STANFORD HEALTH CARE TRI-VALLEY,140000114,Parent Facility,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,1,Alameda,Open,1991-12-09,Hospital,General Acute Care Hospital,37.6933946,-121.8803417
17,106014132,KAISER FOUNDATION HOSPITAL - FREMONT,140000053,Parent Facility,39400 PASEO PADRE PARKWAY,FREMONT,94538,1,Alameda,Open,1996-12-01,Hospital,General Acute Care Hospital,37.5521617,-121.9754891
18,106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,M02016036,Parent Facility,2633 EAST 27TH STREET,OAKLAND,94601,1,Alameda,Open,2005-08-16,Hospital,Psychiatric Health Facility,37.7905759,-122.2220899
19,106014226,TELECARE WILLOW ROCK CENTER,M02016039,Parent Facility,2050 FAIRMONT DRIVE,SAN LEANDRO,94578,1,Alameda,Open,2007-07-02,Hospital,Psychiatric Health Facility,37.709319,-122.1184917
20,106014233,EDEN MEDICAL CENTER,140000030,Parent Facility,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,1,Alameda,Open,2012-11-01,Hospital,General Acute Care Hospital,37.6982572,-122.0901455
21,106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,140000052,Parent Facility,275 W. MACARTHUR BLVD.,OAKLAND,94611,1,Alameda,Open,2014-07-01,Hospital,General Acute Care Hospital,37.8237432,-122.258237
22,106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,550002678,Parent Facility,2500 MERCED STREET,SAN LEANDRO,94577,1,Alameda,Open,2014-06-03,Hospital,General Acute Care Hospital,37.706844,-122.1642717
23,106034002,SUTTER AMADOR HOSPITAL,030000008,Parent Facility,200 MISSION BLVD,JACKSON,95642,3,Amador,Open,2000-04-10,Hospital,General Acute Care Hospital,38.3504826,-120.764465
24,106040802,ORCHARD HOSPITAL,230000007,Parent Facility,240 SPRUCE STREET,GRIDLEY,95948,4,Butte,Open,1949-05-24,Hospital,General Acute Care Hospital,39.3675541,-121.6894693
25,106040828,ENLOE MEDICAL CENTER - COHASSET,230000027,Consolidated Facility,560 COHASSET ROAD,CHICO,95926,4,Butte,Open,1964-06-19,Hospital,General Acute Care Hospital,39.7526032,-121.8481661
26,106040937,OROVILLE HOSPITAL,230000022,Parent Facility,2767 OLIVE HIGHWAY,OROVILLE,95966,4,Butte,Open,1962-01-01,Hospital,General Acute Care Hospital,39.5061693,-121.5411912
27,106040962,ENLOE HEALTH,230000027,Parent Facility,1531 ESPLANADE,CHICO,95926,4,Butte,Open,1946-03-29,Hospital,General Acute Care Hospital,39.7425867,-121.849727
28,106044006,BUTTE COUNTY MENTAL HEALTH SERVICES,M01016001,Parent Facility,592 Rio Lindo Ave,Chico,95926,4,Butte,Open,1988-01-29,Hospital,Psychiatric Health Facility,39.7545626,-121.8474544
29,106044011,ENLOE REHABILITATION CENTER,230000027,Consolidated Facility,340 WEST EAST AVENUE,CHICO,95926,4,Butte,Open,1991-05-14,Hospital,General Acute Care Hospital,39.7541587,-121.8675522
30,106050932,MARK TWAIN MEDICAL CENTER,030000058,Parent Facility,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,5,Calaveras,Open,1951-08-21,Hospital,General Acute Care Hospital,38.1906896,-120.6701903
31,106060870,COLUSA MEDICAL CENTER,230000149,Parent Facility,199 E WEBSTER STREET,COLUSA,95932,6,Colusa,Open,1953-07-01,Hospital,General Acute Care Hospital,39.2063682,-122.0017168
